"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"1","Negative",6,"critical account/ other credits existing (not at this bank)","radio/television",1169,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",67,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"2","0 - 200",48,"existing credits paid back duly till now","radio/television",5951,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"3","No checking account",12,"critical account/ other credits existing (not at this bank)","education",2096,"less than 100","4 to 7 years",2,"male (single)","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"none","Yes","good"
"4","Negative",42,"existing credits paid back duly till now","furniture/equipment",7882,"less than 100","4 to 7 years",2,"male (single)","guarantor",4,"building society savings agreement/ life insurance",45,"none","for free",1,"skilled employee / official",2,"none","Yes","good"
"5","Negative",24,"delay in paying off in the past","car (new)",4870,"less than 100","1 to 4 years",3,"male (single)","none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","Yes","bad"
"6","No checking account",36,"existing credits paid back duly till now","education",9055,"unknown / no savings account","1 to 4 years",2,"male (single)","none",4,"unknown / no property",35,"none","for free",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
"7","No checking account",24,"existing credits paid back duly till now","furniture/equipment",2835,"500 to 1000","more than 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",53,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"8","0 - 200",36,"existing credits paid back duly till now","car (used)",6948,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",35,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"9","No checking account",12,"existing credits paid back duly till now","radio/television",3059,"more than 1000","4 to 7 years",2,"male (divorced/separated)","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"10","0 - 200",30,"critical account/ other credits existing (not at this bank)","car (new)",5234,"less than 100","Unemployed",4,"male (married/widowed)","none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
